Filename	Segment	posemo	negemo	reward	risk	focuspast	focuspresent	focusfuture
allText264.txt	1	2,76	0,00	0,61	0,00	1,84	7,36	1,84
allText265.txt	1	0,74	0,74	0,00	0,25	0,00	0,50	0,00
allText266.txt	1	5,41	2,70	0,00	2,70	0,00	8,11	2,70
allText267.txt	1	5,13	0,79	3,16	0,39	2,17	10,65	0,39
allText268.txt	1	5,70	1,10	2,30	0,90	1,00	11,00	2,30
allText269.txt	1	2,86	0,48	0,48	0,48	2,86	7,62	1,90
allText27.txt	1	4,88	1,22	1,22	1,22	0,61	12,80	1,83
allText270.txt	1	2,90	0,48	0,97	0,48	7,25	7,73	0,48
allText271.txt	1	1,82	0,61	0,61	0,61	1,82	9,70	1,21
allText272.txt	1	7,26	0,43	2,14	0,43	2,14	10,26	2,99
allText273.txt	1	3,74	0,57	2,59	0,57	3,45	6,61	1,72
allText274.txt	1	4,17	1,11	1,67	1,11	2,22	10,00	0,83
allText275.txt	1	5,53	0,54	3,75	0,45	2,05	11,06	0,98
allText276.txt	1	7,02	0,44	2,19	0,44	0,88	5,70	1,32
allText277.txt	1	4,62	0,19	3,95	0,29	1,44	9,82	1,92
allText278.txt	1	4,21	0,32	0,65	0,65	0,00	7,77	1,62
allText279.txt	1	4,68	0,00	0,85	0,00	0,85	9,36	2,13
allText28.txt	1	2,63	2,63	1,67	3,59	0,48	9,81	1,67
allText280.txt	1	5,12	0,47	0,93	0,47	0,00	9,77	2,33
allText281.txt	1	3,23	0,69	1,15	0,69	2,54	6,53	1,38
allText282.txt	1	3,16	0,89	0,76	0,76	2,78	6,08	1,77
allText283.txt	1	3,31	0,22	1,99	0,22	1,10	8,17	3,31
allText284.txt	1	5,90	0,16	2,30	0,16	2,79	10,82	1,64
allText285.txt	1	6,15	1,08	1,27	0,36	3,80	6,51	1,08
allText286.txt	1	4,26	0,68	2,81	0,29	3,78	9,00	0,97
allText287.txt	1	3,03	0,34	2,19	0,17	1,68	7,32	1,52
allText288.txt	1	4,43	0,74	0,99	0,25	1,72	6,90	1,23
allText289.txt	1	5,13	0,62	1,85	0,41	3,70	8,21	2,05
allText29.txt	1	7,02	0,84	3,65	1,12	3,37	12,92	1,12
allText290.txt	1	4,63	0,63	1,26	0,63	1,89	8,42	3,79
allText291.txt	1	3,94	0,59	1,92	0,10	3,25	8,37	1,43
allText292.txt	1	5,32	0,92	1,47	0,37	2,75	8,99	1,83
allText293.txt	1	4,22	0,50	2,36	0,07	4,00	9,65	0,93
allText294.txt	1	4,86	0,27	1,78	0,27	2,53	8,01	0,96
allText295.txt	1	2,86	0,63	0,00	0,63	0,63	5,40	1,59
allText296.txt	1	4,62	0,97	2,68	0,49	2,92	12,65	2,19
allText297.txt	1	5,82	0,25	2,78	0,25	2,03	12,15	2,03
allText298.txt	1	4,86	2,34	1,44	1,26	2,34	9,01	0,90
allText299.txt	1	4,44	1,18	1,48	0,30	1,48	10,06	1,18
allText3.txt	1	4,46	0,99	2,97	0,50	4,95	7,92	0,99
allText30.txt	1	4,20	0,42	2,52	0,28	1,96	12,18	2,94
allText300.txt	1	4,39	0,56	1,82	0,08	1,88	7,54	1,56
allText301.txt	1	4,49	0,32	1,60	0,21	2,89	6,84	2,46
allText302.txt	1	3,04	0,91	1,11	0,20	1,01	5,37	2,13
allText303.txt	1	3,24	0,46	2,38	0,46	1,32	10,11	2,12
allText304.txt	1	3,59	1,20	2,13	0,53	1,59	8,64	0,93
allText305.txt	1	3,88	0,42	2,00	0,50	2,96	9,56	0,83
allText306.txt	1	4,23	1,36	2,04	0,49	2,61	8,81	1,74
allText307.txt	1	3,27	0,62	1,63	0,31	1,71	8,09	2,26
allText308.txt	1	2,84	0,87	1,14	0,08	3,71	8,24	1,62
allText309.txt	1	2,95	0,00	1,11	0,00	4,80	8,86	2,21
allText31.txt	1	5,01	0,56	2,23	0,28	0,28	14,76	4,74
allText310.txt	1	3,47	0,75	1,28	0,45	2,64	8,82	1,43
allText311.txt	1	4,54	1,32	1,97	0,43	1,79	7,19	1,50
allText312.txt	1	4,11	0,39	1,92	0,05	2,51	6,05	0,96
allText313.txt	1	2,94	1,05	2,31	0,21	3,68	10,52	1,79
allText314.txt	1	4,90	1,22	2,33	0,37	1,28	10,57	2,13
allText315.txt	1	3,52	1,96	2,14	0,41	1,58	6,99	1,67
allText316.txt	1	2,92	0,87	1,18	0,24	2,45	6,95	1,58
allText317.txt	1	3,55	1,18	1,38	0,39	3,16	10,45	1,58
allText318.txt	1	3,59	0,65	0,98	0,16	1,31	10,28	1,63
allText319.txt	1	4,30	0,72	1,98	0,33	1,98	9,87	1,82
allText32.txt	1	4,07	1,36	2,71	0,78	0,97	12,21	1,36
allText320.txt	1	4,89	1,30	3,14	0,13	2,06	8,07	1,52
allText321.txt	1	3,29	1,53	1,35	0,65	1,24	10,00	1,47
allText322.txt	1	4,85	2,37	1,48	0,69	1,29	6,23	1,48
allText323.txt	1	4,10	2,39	2,19	1,34	1,62	11,64	2,96
allText324.txt	1	4,81	0,16	1,71	0,78	1,55	9,63	1,40
allText325.txt	1	3,41	0,36	1,67	0,15	2,18	10,31	0,87
allText326.txt	1	2,85	0,64	1,18	0,29	1,72	8,34	0,88
allText327.txt	1	3,09	0,30	1,30	0,10	3,69	6,88	1,20
allText328.txt	1	2,78	0,22	1,72	0,09	2,60	6,96	2,47
allText329.txt	1	4,76	0,75	2,12	0,11	1,26	9,87	1,03
allText33.txt	1	5,10	1,02	1,02	1,02	2,04	11,22	2,04
allText330.txt	1	5,52	0,48	4,32	0,24	1,44	8,63	1,44
allText331.txt	1	2,42	2,49	0,99	1,55	1,24	8,64	2,92
allText332.txt	1	3,74	1,30	2,04	0,28	1,02	8,79	1,42
allText333.txt	1	5,20	2,29	2,21	0,55	2,84	11,51	1,02
allText334.txt	1	4,03	1,73	1,25	0,51	1,05	8,60	2,45
allText335.txt	1	4,39	1,73	1,73	0,72	3,16	8,10	1,31
allText336.txt	1	2,20	1,51	1,93	0,41	3,30	11,28	1,65
allText337.txt	1	4,11	1,80	2,18	0,84	1,61	8,94	2,02
allText338.txt	1	3,97	0,89	1,91	0,32	2,59	7,62	1,91
allText339.txt	1	2,01	2,01	1,34	0,67	0,50	7,69	4,01
allText34.txt	1	4,50	0,39	2,94	0,59	0,59	9,98	3,72
allText340.txt	1	4,50	0,97	1,77	0,44	2,29	11,12	3,27
allText341.txt	1	2,56	1,87	2,41	0,79	1,38	9,74	4,23
allText342.txt	1	4,28	1,33	2,21	0,59	2,65	6,34	1,62
allText343.txt	1	3,47	2,56	2,29	0,32	0,43	8,06	2,24
allText344.txt	1	3,91	1,13	3,14	0,18	0,89	10,31	3,14
allText345.txt	1	7,60	1,00	3,80	0,27	1,40	9,00	2,27
allText346.txt	1	3,25	0,27	0,81	0,00	1,90	8,13	1,63
allText347.txt	1	5,14	3,79	2,87	1,16	2,20	7,22	0,80
allText348.txt	1	2,38	1,75	1,03	0,56	2,06	9,21	1,98
allText349.txt	1	4,98	0,80	4,38	0,40	1,79	10,76	1,39
allText35.txt	1	0,68	0,68	0,68	1,36	5,44	11,56	0,00
allText350.txt	1	3,67	1,07	1,64	0,34	1,35	8,92	1,52
allText351.txt	1	3,00	0,67	2,78	0,36	2,24	9,60	2,83
allText352.txt	1	5,14	0,99	2,57	0,20	2,27	7,81	1,98
allText353.txt	1	4,82	1,90	2,55	0,38	1,84	8,72	1,73
allText354.txt	1	2,86	1,46	1,79	0,67	1,79	8,81	1,63
allText355.txt	1	3,59	0,70	2,55	0,00	1,39	12,51	1,85
allText356.txt	1	3,36	0,84	1,17	0,50	2,01	7,55	2,01
allText357.txt	1	3,37	0,88	1,62	0,34	2,76	10,57	1,89
allText358.txt	1	4,20	0,84	2,47	0,26	1,68	8,24	1,84
allText359.txt	1	3,37	0,80	2,97	0,24	2,65	9,46	2,00
allText36.txt	1	2,44	0,28	1,32	0,28	3,34	10,52	2,51
allText360.txt	1	3,44	1,96	2,01	0,50	5,14	5,21	1,04
allText361.txt	1	4,44	1,65	1,01	0,63	1,77	9,13	2,53
allText362.txt	1	2,89	2,60	1,16	0,29	2,02	10,98	2,02
allText363.txt	1	3,40	1,56	0,99	0,43	1,42	9,50	2,70
allText364.txt	1	3,98	1,19	1,19	0,20	1,39	9,74	2,19
allText365.txt	1	3,30	0,76	1,65	0,36	1,54	9,69	2,83
allText366.txt	1	3,54	1,23	1,82	0,60	2,35	8,81	1,49
allText367.txt	1	2,73	2,50	1,72	0,67	1,67	9,79	1,45
allText368.txt	1	4,70	0,63	2,93	0,10	3,66	7,42	1,25
allText369.txt	1	3,07	0,84	2,51	0,14	1,53	10,32	1,95
allText37.txt	1	8,87	0,99	4,43	0,99	1,97	12,32	0,49
allText370.txt	1	4,07	2,66	1,12	0,42	2,66	9,68	1,82
